segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
49,2026-06-01T14:04:19.882042+00:00,A,480p,700,1031.18,0.68,0.05,0.05,0.05,40.91,1,0,0.0,0
50,2026-06-01T14:04:20.573432+00:00,A,480p,700,1013.23,0.69,12.15,12.15,12.15,42.22,1,0,0.0,0
51,2026-06-01T14:04:21.271553+00:00,A,480p,700,1003.41,0.7,6.59,6.59,6.59,43.52,1,0,0.0,0
52,2026-06-01T14:04:21.923673+00:00,A,480p,700,1074.24,0.65,45.72,45.72,45.72,44.87,1,0,0.0,0
53,2026-06-01T14:04:22.596815+00:00,A,480p,700,1040.69,0.67,21.08,21.08,21.08,46.19,1,0,0.0,0
54,2026-06-01T14:04:23.288872+00:00,A,480p,700,1012.24,0.69,42.84,42.84,42.84,47.5,1,0,0.0,0
55,2026-06-01T14:04:23.935975+00:00,A,480p,700,1082.63,0.65,0.95,0.95,0.95,48.86,1,0,0.0,0
56,2026-06-01T14:04:24.615201+00:00,A,480p,700,1031.43,0.68,47.6,47.6,47.6,50.18,1,0,0.0,0
57,2026-06-01T14:04:25.290286+00:00,A,480p,700,1037.65,0.67,4.04,4.04,4.04,51.5,1,0,0.0,0
58,2026-06-01T14:04:25.977250+00:00,A,480p,700,1019.75,0.69,11.83,11.83,11.83,52.82,1,0,0.0,0
59,2026-06-01T14:04:26.619583+00:00,A,480p,700,1090.63,0.64,44.79,44.79,44.79,54.17,1,0,0.0,0
60,2026-06-01T14:04:27.176406+00:00,A,480p,700,1258.26,0.56,41.67,41.67,41.67,55.62,1,0,0.0,0
