segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
49,2026-06-01T13:57:58.597825+00:00,A,480p,700,1168.76,0.6,4.96,4.96,4.96,69.2,1,0,0.0,0
50,2026-06-01T13:57:59.204470+00:00,A,480p,700,1154.84,0.61,6.82,6.82,6.82,70.59,1,0,0.0,0
51,2026-06-01T13:57:59.748551+00:00,A,480p,700,1287.68,0.54,62.35,62.35,62.35,72.05,1,0,0.0,0
52,2026-06-01T13:58:00.306863+00:00,A,480p,700,1254.87,0.56,13.76,13.76,13.76,73.49,1,0,0.0,0
53,2026-06-01T13:58:00.857227+00:00,A,480p,700,1272.97,0.55,7.21,7.21,7.21,74.94,1,0,0.0,0
54,2026-06-01T13:58:01.420719+00:00,A,480p,700,1243.12,0.56,13.14,13.14,13.14,76.37,1,0,0.0,0
55,2026-06-01T13:58:01.971446+00:00,A,480p,700,1272.16,0.55,16.02,16.02,16.02,77.82,1,0,0.0,0
56,2026-06-01T13:58:02.540162+00:00,A,480p,700,1231.98,0.57,11.98,11.98,11.98,79.26,1,0,0.0,0
57,2026-06-01T13:58:03.111993+00:00,A,480p,700,1225.08,0.57,2.01,2.01,2.01,80.68,1,0,0.0,0
58,2026-06-01T13:58:03.710630+00:00,A,480p,700,1170.13,0.6,37.88,37.88,37.88,82.09,1,0,0.0,0
59,2026-06-01T13:58:04.305130+00:00,A,480p,700,1178.46,0.59,5.75,5.75,5.75,83.49,1,0,0.0,0
60,2026-06-01T13:58:04.846605+00:00,A,480p,700,1293.92,0.54,52.61,52.61,52.61,84.95,1,0,0.0,0
