segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-14T15:51:28.583088+00:00,A,240p,200,931.14,0.21,0.0,0.0,0.0,2.0,0,1,0.21,0
2,2026-06-14T15:51:29.163558+00:00,A,480p,700,1206.84,0.58,112.12,112.12,112.12,3.42,1,0,0.0,0
3,2026-06-14T15:51:29.746117+00:00,A,480p,700,1202.45,0.58,22.67,22.67,22.67,4.84,1,0,0.0,0
4,2026-06-14T15:51:30.369443+00:00,A,480p,700,1123.79,0.62,20.23,20.23,20.23,6.21,1,0,0.0,0
5,2026-06-14T15:51:30.913603+00:00,A,480p,700,1287.34,0.54,79.01,79.01,79.01,7.67,1,0,0.0,0
6,2026-06-14T15:51:31.514651+00:00,A,480p,700,1165.59,0.6,59.12,59.12,59.12,9.07,1,0,0.0,0
7,2026-06-14T15:51:32.106572+00:00,A,480p,700,1183.67,0.59,8.76,8.76,8.76,10.48,1,0,0.0,0
8,2026-06-14T15:51:32.693601+00:00,A,480p,700,1193.4,0.59,5.16,5.16,5.16,11.89,1,0,0.0,0
9,2026-06-14T15:51:33.277733+00:00,A,480p,700,1199.3,0.58,4.35,4.35,4.35,13.31,1,0,0.0,0
10,2026-06-14T15:51:33.851356+00:00,A,480p,700,1221.26,0.57,3.33,3.33,3.33,14.74,1,0,0.0,0
11,2026-06-14T15:51:34.460908+00:00,A,480p,700,1149.13,0.61,35.87,35.87,35.87,16.13,1,0,0.0,0
12,2026-06-14T15:51:35.005524+00:00,A,480p,700,1286.17,0.54,60.89,60.89,60.89,17.58,1,0,0.0,0
13,2026-06-14T15:51:35.816667+00:00,A,480p,700,863.25,0.81,28.41,28.41,28.41,18.77,1,0,0.0,0
14,2026-06-14T15:51:36.646490+00:00,A,480p,700,843.91,0.83,4.92,4.92,4.92,19.94,1,0,0.0,0
15,2026-06-14T15:51:37.505308+00:00,A,480p,700,815.48,0.86,29.25,29.25,29.25,21.08,1,0,0.0,0
16,2026-06-14T15:51:38.330742+00:00,A,480p,700,848.43,0.83,34.04,34.04,34.04,22.26,1,0,0.0,0
17,2026-06-14T15:51:39.147477+00:00,A,480p,700,857.38,0.82,8.27,8.27,8.27,23.44,1,0,0.0,0
18,2026-06-14T15:51:39.962348+00:00,A,480p,700,859.51,0.81,1.57,1.57,1.57,24.63,1,0,0.0,0
19,2026-06-14T15:51:41.927114+00:00,A,720p,1500,763.67,1.96,239.85,239.85,239.85,24.66,1,0,0.0,0
