segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
51,2026-06-22T20:09:08.649934+00:00,srv-B,480p,600,733.59,0.82,42.44,39.41,31.18,1,0,0.0,1
52,2026-06-22T20:09:10.648899+00:00,srv-B,480p,600,736.14,0.82,42.27,39.76,31.18,1,0,0.0,1
53,2026-06-22T20:09:12.655664+00:00,srv-B,480p,600,731.63,0.82,45.51,40.48,31.18,1,0,0.0,1
54,2026-06-22T20:09:14.655095+00:00,srv-B,480p,600,733.72,0.82,39.91,40.41,31.18,1,0,0.0,1
55,2026-06-22T20:09:16.657868+00:00,srv-B,480p,600,733.01,0.82,44.29,40.9,31.18,1,0,0.0,1
56,2026-06-22T20:09:18.657683+00:00,srv-B,480p,600,734.85,0.82,42.65,41.11,31.18,1,0,0.0,1
57,2026-06-22T20:09:20.660187+00:00,srv-B,480p,600,734.22,0.82,43.46,41.41,31.18,1,0,0.0,1
58,2026-06-22T20:09:22.661511+00:00,srv-B,480p,600,734.64,0.82,37.61,40.93,31.18,1,0,0.0,1
59,2026-06-22T20:09:24.670020+00:00,srv-B,480p,600,728.65,0.82,42.54,41.13,31.18,1,0,0.0,1
60,2026-06-22T20:09:26.663610+00:00,srv-B,480p,600,735.24,0.82,45.2,41.64,31.18,1,0,0.0,1
