segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
51,2026-06-23T00:19:35.332599+00:00,A,1080p,1200,1190.65,1.01,17.3,20.3,30.99,1,0,0.0,0
52,2026-06-23T00:19:37.335744+00:00,A,1080p,1200,1189.34,1.01,18.59,20.09,30.99,1,0,0.0,0
53,2026-06-23T00:19:39.336875+00:00,A,1080p,1200,1190.31,1.01,21.54,20.27,30.99,1,0,0.0,0
54,2026-06-23T00:19:41.337029+00:00,A,1080p,1200,1192.28,1.01,13.27,19.4,30.99,1,0,0.0,0
55,2026-06-23T00:19:43.339729+00:00,A,1080p,1200,1191.25,1.01,16.02,18.97,30.99,1,0,0.0,0
56,2026-06-23T00:19:45.407075+00:00,A,1080p,1200,1118.64,1.07,20.51,19.16,30.93,1,0,0.0,0
57,2026-06-23T00:19:47.338148+00:00,A,1080p,1200,1197.69,1.0,19.86,19.25,31.0,1,0,0.0,0
58,2026-06-23T00:19:49.329218+00:00,A,1080p,1200,1210.59,0.99,12.68,18.43,31.01,1,0,0.0,0
59,2026-06-23T00:19:51.354552+00:00,A,1080p,1200,1182.69,1.01,18.47,18.44,30.99,1,0,0.0,0
60,2026-06-23T00:19:53.344511+00:00,A,1080p,1200,1196.86,1.0,17.17,18.28,31.0,1,0,0.0,0
