segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T00:06:50.240011+00:00,A,240p,200,910.52,0.22,32.64,32.64,2.0,0,1,0.22,0
2,2026-06-23T00:06:50.789372+00:00,A,480p,600,1093.24,0.55,13.16,30.2,3.45,1,0,0.0,0
3,2026-06-23T00:06:51.521164+00:00,A,720p,900,1231.0,0.73,11.58,27.88,4.72,1,0,0.0,0
4,2026-06-23T00:06:52.231568+00:00,A,720p,900,1267.85,0.71,23.13,27.28,6.01,1,0,0.0,0
5,2026-06-23T00:06:52.981979+00:00,A,720p,900,1200.28,0.75,17.69,26.08,7.26,1,0,0.0,0
6,2026-06-23T00:06:53.721720+00:00,A,720p,900,1217.6,0.74,12.12,24.34,8.52,1,0,0.0,0
7,2026-06-23T00:06:54.435749+00:00,A,720p,900,1261.37,0.71,16.59,23.37,9.81,1,0,0.0,0
8,2026-06-23T00:06:55.440304+00:00,A,1080p,1200,1195.15,1.0,13.77,22.17,10.8,1,0,0.0,0
9,2026-06-23T00:06:56.179669+00:00,A,720p,900,1218.34,0.74,18.07,21.66,12.06,1,0,0.0,0
10,2026-06-23T00:06:56.907939+00:00,A,720p,900,1236.97,0.73,15.71,20.91,13.34,1,0,0.0,0
11,2026-06-23T00:06:57.627586+00:00,A,720p,900,1251.56,0.72,10.39,19.6,14.62,1,0,0.0,0
12,2026-06-23T00:06:58.582111+00:00,A,1080p,1200,1257.95,0.95,12.87,18.76,15.66,1,0,0.0,0
13,2026-06-23T00:06:59.552348+00:00,A,1080p,1200,1237.44,0.97,13.69,18.12,16.69,1,0,0.0,0
14,2026-06-23T00:07:00.327400+00:00,A,720p,900,1161.92,0.77,17.91,18.1,17.92,1,0,0.0,0
15,2026-06-23T00:07:01.026819+00:00,A,720p,900,1287.87,0.7,22.54,18.65,19.22,1,0,0.0,0
16,2026-06-23T00:07:01.978965+00:00,A,1080p,1200,1261.02,0.95,14.93,18.19,20.27,1,0,0.0,0
17,2026-06-23T00:07:02.972559+00:00,A,1080p,1200,1208.41,0.99,19.48,18.35,21.28,1,0,0.0,0
18,2026-06-23T00:07:03.720774+00:00,A,720p,900,1203.87,0.75,12.98,17.68,22.53,1,0,0.0,0
19,2026-06-23T00:07:04.441028+00:00,A,720p,900,1250.48,0.72,16.6,17.54,23.81,1,0,0.0,0
20,2026-06-23T00:07:05.448532+00:00,A,1080p,1200,1191.72,1.01,17.96,17.6,24.8,1,0,0.0,0
21,2026-06-23T00:07:06.210481+00:00,A,720p,900,1182.25,0.76,37.64,20.1,26.04,1,0,0.0,0
22,2026-06-23T00:07:06.921056+00:00,A,720p,900,1267.57,0.71,16.92,19.7,27.33,1,0,0.0,0
23,2026-06-23T00:07:07.865884+00:00,A,1080p,1200,1270.81,0.94,10.34,18.53,28.39,1,0,0.0,0
24,2026-06-23T00:07:08.849339+00:00,A,1080p,1200,1220.72,0.98,11.5,17.65,29.4,1,0,0.0,0
25,2026-06-23T00:07:09.600805+00:00,A,720p,900,1198.46,0.75,16.88,17.56,30.65,1,0,0.0,0
26,2026-06-23T00:07:11.020880+00:00,A,720p,900,1175.03,0.77,16.17,17.38,31.23,1,0,0.0,0
27,2026-06-23T00:07:12.996712+00:00,A,720p,900,1214.86,0.74,17.04,17.34,31.26,1,0,0.0,0
28,2026-06-23T00:07:15.013819+00:00,A,720p,900,1190.3,0.76,18.02,17.43,31.24,1,0,0.0,0
29,2026-06-23T00:07:17.021402+00:00,A,720p,900,1181.45,0.76,15.01,17.12,31.24,1,0,0.0,0
30,2026-06-23T00:07:19.024179+00:00,A,720p,900,1180.25,0.76,12.04,16.49,31.24,1,0,0.0,0
31,2026-06-23T00:07:21.030831+00:00,A,720p,900,1171.92,0.77,16.32,16.47,31.23,1,0,0.0,0
32,2026-06-23T00:07:23.007618+00:00,A,720p,900,1210.2,0.74,16.79,16.51,31.26,1,0,0.0,0
33,2026-06-23T00:07:25.001472+00:00,A,720p,900,1221.88,0.74,27.96,17.94,31.26,1,0,0.0,0
34,2026-06-23T00:07:27.001060+00:00,A,720p,900,1224.29,0.74,17.15,17.84,31.26,1,0,0.0,0
35,2026-06-23T00:07:29.020205+00:00,A,720p,900,1196.28,0.75,12.15,17.13,31.25,1,0,0.0,0
36,2026-06-23T00:07:31.023278+00:00,A,720p,900,1194.74,0.75,13.62,16.69,31.25,1,0,0.0,0
37,2026-06-23T00:07:33.017939+00:00,A,720p,900,1206.37,0.75,16.02,16.61,31.25,1,0,0.0,0
38,2026-06-23T00:07:35.025476+00:00,A,720p,900,1195.88,0.75,17.96,16.78,31.25,1,0,0.0,0
39,2026-06-23T00:07:37.009081+00:00,A,720p,900,1225.62,0.73,22.68,17.51,31.27,1,0,0.0,0
40,2026-06-23T00:07:38.997685+00:00,A,720p,900,1247.01,0.72,12.28,16.86,31.28,1,0,0.0,0
