segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
41,2026-06-23T00:07:41.254888+00:00,A,1080p,1200,1228.34,0.98,15.67,16.71,31.02,1,0,0.0,0
42,2026-06-23T00:07:43.027391+00:00,A,720p,900,1203.87,0.75,13.58,16.32,31.25,1,0,0.0,0
43,2026-06-23T00:07:45.023287+00:00,A,720p,900,1214.22,0.74,14.23,16.06,31.26,1,0,0.0,0
44,2026-06-23T00:07:46.998320+00:00,A,720p,900,1259.8,0.71,18.96,16.42,31.29,1,0,0.0,0
45,2026-06-23T00:07:49.252845+00:00,A,1080p,1200,1241.01,0.97,19.79,16.84,31.03,1,0,0.0,0
46,2026-06-23T00:07:51.022426+00:00,A,720p,900,1225.26,0.73,15.78,16.71,31.27,1,0,0.0,0
47,2026-06-23T00:07:53.004128+00:00,A,720p,900,1260.47,0.71,14.11,16.38,31.29,1,0,0.0,0
48,2026-06-23T00:07:55.260896+00:00,A,1080p,1200,1238.98,0.97,19.93,16.83,31.03,1,0,0.0,0
49,2026-06-23T00:07:57.002160+00:00,A,720p,900,1270.68,0.71,12.25,16.26,31.29,1,0,0.0,0
50,2026-06-23T00:07:59.274185+00:00,A,1080p,1200,1226.97,0.98,15.65,16.18,31.02,1,0,0.0,0
51,2026-06-23T00:08:01.018487+00:00,A,720p,900,1249.38,0.72,24.32,17.2,31.28,1,0,0.0,0
52,2026-06-23T00:08:03.265150+00:00,A,1080p,1200,1243.56,0.96,18.72,17.39,31.04,1,0,0.0,0
53,2026-06-23T00:08:05.263674+00:00,A,1080p,1200,1247.8,0.96,16.47,17.27,31.04,1,0,0.0,0
54,2026-06-23T00:08:07.262959+00:00,A,1080p,1200,1251.11,0.96,14.35,16.91,31.04,1,0,0.0,0
55,2026-06-23T00:08:09.262970+00:00,A,1080p,1200,1253.42,0.96,8.63,15.87,31.04,1,0,0.0,0
56,2026-06-23T00:08:11.263936+00:00,A,1080p,1200,1254.81,0.96,17.61,16.09,31.04,1,0,0.0,0
57,2026-06-23T00:08:13.281052+00:00,A,1080p,1200,1235.18,0.97,11.97,15.58,31.03,1,0,0.0,0
58,2026-06-23T00:08:15.030118+00:00,A,720p,900,1251.39,0.72,17.82,15.86,31.28,1,0,0.0,0
59,2026-06-23T00:08:17.271805+00:00,A,1080p,1200,1251.45,0.96,12.61,15.45,31.04,1,0,0.0,0
60,2026-06-23T00:08:19.270866+00:00,A,1080p,1200,1254.95,0.96,14.83,15.37,31.04,1,0,0.0,0
