segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
1,2026-06-23T00:35:31.052235+00:00,A,240p,200,940.15,0.21,30.18,30.18,2.0,0,1,0.21,0
2,2026-06-23T00:35:31.589123+00:00,A,480p,600,1119.07,0.54,17.0,28.54,3.46,1,0,0.0,0
3,2026-06-23T00:35:32.325343+00:00,A,720p,900,1223.44,0.74,15.65,26.92,4.73,1,0,0.0,0
4,2026-06-23T00:35:33.046320+00:00,A,720p,900,1249.34,0.72,15.97,25.56,6.01,1,0,0.0,0
5,2026-06-23T00:35:33.800374+00:00,A,720p,900,1194.5,0.75,14.32,24.15,7.25,1,0,0.0,0
6,2026-06-23T00:35:34.505507+00:00,A,720p,900,1277.4,0.7,12.89,22.74,8.55,1,0,0.0,0
7,2026-06-23T00:35:35.472769+00:00,A,1080p,1200,1241.43,0.97,20.43,22.45,9.58,1,0,0.0,0
8,2026-06-23T00:35:36.234735+00:00,A,720p,900,1181.99,0.76,27.65,23.1,10.82,1,0,0.0,0
9,2026-06-23T00:35:37.007555+00:00,A,720p,900,1165.19,0.77,15.81,22.19,12.05,1,0,0.0,0
10,2026-06-23T00:35:37.740179+00:00,A,720p,900,1229.18,0.73,18.27,21.7,13.32,1,0,0.0,0
11,2026-06-23T00:35:38.488561+00:00,A,720p,900,1203.44,0.75,12.64,20.57,14.57,1,0,0.0,0
12,2026-06-23T00:35:39.199432+00:00,A,720p,900,1267.11,0.71,12.07,19.51,15.86,1,0,0.0,0
13,2026-06-23T00:35:40.164821+00:00,A,1080p,1200,1243.75,0.96,19.97,19.56,16.89,1,0,0.0,0
14,2026-06-23T00:35:40.929485+00:00,A,720p,900,1177.68,0.76,17.42,19.3,18.13,1,0,0.0,0
15,2026-06-23T00:35:41.665814+00:00,A,720p,900,1223.37,0.74,13.57,18.58,19.39,1,0,0.0,0
16,2026-06-23T00:35:42.406463+00:00,A,720p,900,1216.0,0.74,13.49,17.94,20.65,1,0,0.0,0
17,2026-06-23T00:35:43.108691+00:00,A,720p,900,1282.86,0.7,14.85,17.56,21.95,1,0,0.0,0
18,2026-06-23T00:35:44.070112+00:00,A,1080p,1200,1248.84,0.96,11.95,16.86,22.99,1,0,0.0,0
19,2026-06-23T00:35:45.067474+00:00,A,1080p,1200,1203.8,1.0,20.33,17.29,23.99,1,0,0.0,0
20,2026-06-23T00:35:45.837488+00:00,A,720p,900,1169.73,0.77,19.02,17.51,25.23,1,0,0.0,0
21,2026-06-23T00:35:46.585500+00:00,A,720p,900,1204.11,0.75,20.8,17.92,26.48,1,0,0.0,0
22,2026-06-23T00:35:47.322509+00:00,A,720p,900,1222.13,0.74,15.78,17.65,27.74,1,0,0.0,0
23,2026-06-23T00:35:48.013036+00:00,A,720p,900,1304.52,0.69,9.05,16.58,29.05,1,0,0.0,0
24,2026-06-23T00:35:48.957364+00:00,A,1080p,1200,1271.46,0.94,12.45,16.06,30.11,1,0,0.0,0
25,2026-06-23T00:35:50.093809+00:00,A,1080p,1200,1167.75,1.03,14.96,15.92,30.97,1,0,0.0,0
26,2026-06-23T00:35:51.831810+00:00,A,720p,900,1178.51,0.76,25.45,17.11,31.24,1,0,0.0,0
27,2026-06-23T00:35:53.826253+00:00,A,720p,900,1190.68,0.76,9.48,16.16,31.24,1,0,0.0,0
28,2026-06-23T00:36:01.170094+00:00,srv-B,720p,900,147.6,6.1,35.5,18.58,25.9,1,0,0.0,1
29,2026-06-23T00:36:01.498994+00:00,srv-B,240p,200,609.19,0.33,29.02,19.88,27.57,1,0,0.0,1
30,2026-06-23T00:36:02.054263+00:00,srv-B,360p,400,721.1,0.55,49.3,23.56,29.02,1,0,0.0,1
31,2026-06-23T00:36:02.882504+00:00,srv-B,480p,600,724.97,0.83,31.03,24.49,30.19,1,0,0.0,1
32,2026-06-23T00:36:03.882134+00:00,srv-B,480p,600,743.76,0.81,33.26,25.59,31.19,1,0,0.0,1
33,2026-06-23T00:36:05.892299+00:00,srv-B,480p,600,736.33,0.81,50.57,28.71,31.19,1,0,0.0,1
