segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
51,2026-06-23T23:33:11.566164+00:00,A,1080p,1200,1189.26,1.01,47.68,37.02,30.99,1,0,0.0,2
52,2026-06-23T23:33:13.582133+00:00,A,1080p,1200,1172.74,1.02,45.21,38.04,30.98,1,0,0.0,2
53,2026-06-23T23:33:15.595460+00:00,A,1080p,1200,1159.66,1.03,18.49,35.6,30.97,1,0,0.0,2
54,2026-06-23T23:33:17.558717+00:00,A,1080p,1200,1203.53,1.0,18.48,33.46,31.0,1,0,0.0,2
55,2026-06-23T23:33:19.564878+00:00,A,1080p,1200,1197.26,1.0,15.45,31.21,31.0,1,0,0.0,2
56,2026-06-23T23:33:21.568874+00:00,A,1080p,1200,1193.63,1.01,22.0,30.06,30.99,1,0,0.0,2
57,2026-06-23T23:33:23.640077+00:00,A,1080p,1200,1116.18,1.08,50.38,32.6,30.92,1,0,0.0,2
58,2026-06-23T23:33:25.618349+00:00,A,1080p,1200,1139.87,1.05,42.65,33.85,30.95,1,0,0.0,2
59,2026-06-23T23:33:27.563455+00:00,A,1080p,1200,1204.77,1.0,43.96,35.11,31.0,1,0,0.0,2
60,2026-06-23T23:33:29.575268+00:00,A,1080p,1200,1193.11,1.01,39.52,35.67,30.99,1,0,0.0,2
