segmento,timestamp,server_id,qualidade,bitrate_kbps,vazao_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,jitter_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
49,2026-06-01T13:11:07.573498+00:00,A,480p,700,1313.0,0.53,43.08,43.08,43.08,69.1,1,0,0.0,0
50,2026-06-01T13:11:08.137321+00:00,A,480p,700,1242.47,0.56,42.67,42.67,42.67,70.54,1,0,0.0,0
51,2026-06-01T13:11:08.669404+00:00,A,480p,700,1316.76,0.53,35.05,35.05,35.05,72.01,1,0,0.0,0
52,2026-06-01T13:11:09.242824+00:00,A,480p,700,1221.82,0.57,45.23,45.23,45.23,73.43,1,0,0.0,0
53,2026-06-01T13:11:09.815587+00:00,A,480p,700,1223.22,0.57,1.14,1.14,1.14,74.86,1,0,0.0,0
54,2026-06-01T13:11:10.373599+00:00,A,480p,700,1255.53,0.56,16.33,16.33,16.33,76.3,1,0,0.0,0
55,2026-06-01T13:11:10.946614+00:00,A,480p,700,1222.69,0.57,11.96,11.96,11.96,77.73,1,0,0.0,0
56,2026-06-01T13:11:11.513490+00:00,A,480p,700,1235.94,0.57,1.73,1.73,1.73,79.16,1,0,0.0,0
57,2026-06-01T13:11:12.119661+00:00,A,480p,700,1155.71,0.61,39.77,39.77,39.77,80.56,1,0,0.0,0
58,2026-06-01T13:11:12.711883+00:00,A,480p,700,1182.91,0.59,14.25,14.25,14.25,81.97,1,0,0.0,0
59,2026-06-01T13:11:13.261503+00:00,A,480p,700,1274.82,0.55,42.37,42.37,42.37,83.42,1,0,0.0,0
60,2026-06-01T13:11:13.819496+00:00,A,480p,700,1255.62,0.56,8.42,8.42,8.42,84.86,1,0,0.0,0
